Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2022,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2022-01-10,420,406,420
2022,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2022-01-10,420,406,420
2022,Aston Martin,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,Auto(A8),18,24,20,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2021-10-25,494,364,435
2022,Volkswagen Group of,Audi,R8 Coupe,5.2,10,Auto(AM-S7),13,19,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2021-06-25,670,453,572
2022,Volkswagen Group of,Audi,R8 Coupe RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2021-06-25,627,385,518
2022,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Auto(AM-S7),13,19,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2021-06-25,670,453,572
2022,Volkswagen Group of,Audi,R8 Spyder RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2021-06-25,627,385,518
2022,Volkswagen Group of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S7),23,30,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2021-06-25,389,292,346
2022,BMW,BMW,Z4 M40i,3.0,6,Auto(S8),22,29,25,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2021-07-09,403,303,358
2022,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),25,32,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2021-07-09,351,274,317
2022,Volkswagen Group of,Bugatti,Chiron,8.0,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2021-09-17,1010,632,840
