Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2023,Aston Martin,Aston Martin Lagonda Ltd,V12 Vantage,5.2,12,Auto(A8),14,22,16,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2022-06-29,659,413,548
2023,Aston Martin,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,Auto(A8),18,24,20,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2022-04-29,494,364,435
2023,Volkswagen Group of,Audi,R8 Coupe quattro,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-07-29,663,479,580
2023,Volkswagen Group of,Audi,R8 Coupe RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2022-07-29,621,384,515
2023,Volkswagen Group of,Audi,R8 GT RWD,5.2,10,Auto(AM-S7),14,21,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2022-10-21,612,423,527
2023,Volkswagen Group of,Audi,R8 Spyder quattro,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-07-29,663,479,580
2023,Volkswagen Group of,Audi,R8 Spyder RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2022-07-29,621,384,515
2023,Volkswagen Group of,Audi,TT Roadster,2.0,4,Auto(AM-S7),23,30,25,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-07-01,391,294,347
2023,BMW,BMW,Z4 M40i,3.0,6,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2022-11-01,386,280,338
2023,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),25,33,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2022-11-01,351,266,312
2023,Volkswagen Group of,Bugatti,Chiron,8.0,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-09-02,1010,632,840
2023,Volkswagen Group of,Bugatti,Chiron Pur Sport,8.0,16,Auto(AM-S7),8,11,9,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-09-02,1135,788,979
2023,Volkswagen Group of,Bugatti,Chiron Super Sport,8.0,16,Auto(AM-S7),8,11,9,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2022-09-02,1135,788,979
2023,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),16,24,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-01-26,568,371,475
2023,General Motors,Chevrolet,CORVETTE Z06,5.5,8,Auto(S8),12,21,15,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2022-08-05,731,433,597
