Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2024,BMW,BMW,Z4 M40i,3.0,6,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-06-16,386,280,338
2024,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),25,33,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-06-16,351,266,312
2024,General Motors,Chevrolet,CORVETTE Z06,5.5,8,Auto(S8),12,21,15,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-07-18,731,433,597
2024,General Motors,Chevrolet,CORVETTE Z06 CARBON AERO,5.5,8,Auto(S8),12,19,14,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-07-18,755,480,631
2024,Jaguar Land Rover L,Jaguar,F-TYPE P450 AWD R-Dynamic Conv,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2023-01-30,571,369,481
2024,Jaguar Land Rover L,Jaguar,F-TYPE P450 AWD R-Dynamic Coupe,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2023-01-30,571,369,481
2024,Jaguar Land Rover L,Jaguar,F-TYPE P450 RWD Convertible,5.0,8,Auto(S8),17,24,19,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-01-30,536,367,460
2024,Jaguar Land Rover L,Jaguar,F-TYPE P450 RWD Coupe,5.0,8,Auto(S8),17,24,19,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-01-30,536,367,460
2024,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2023-01-30,571,369,481
2024,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2023-01-30,571,369,481
2024,Volkswagen Group of,Lamborghini,Huracan Coupe 2WD,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2023-06-01,687,484,596
2024,Volkswagen Group of,Lamborghini,Huracan Spyder,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2023-06-01,688,501,604
2024,Volkswagen Group of,Lamborghini,Huracan Sterrato,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2023-06-01,688,501,604
2024,BMW,TOYOTA,Supra 2.0,2.0,4,Auto(S8),25,31,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-06-16,350,288,322
2024,BMW,TOYOTA,Supra 3.0,3.0,6,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2023-06-30,385,289,342
2024,BMW,TOYOTA,Supra 3.0,3.0,6,Manual(M6),19,27,21,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2023-06-30,476,331,411
2024,Toyota,LEXUS,LC 500 CONVERTIBLE,5.0,8,Auto(S10),15,25,18,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",Minicompact Cars,2023-05-31,598,356,489
2024,BMW,Mini,COOPER CONVERTIBLE,1.5,3,Auto(AM-S7),29,38,32,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",Minicompact Cars,2023-03-01,308,232,274
2024,BMW,Mini,COOPER CONVERTIBLE,1.5,3,Manual(M6),27,38,31,Turbocharged,Manual,6,"2-Wheel Drive, Front",Minicompact Cars,2023-03-01,322,235,283
2024,BMW,Mini,COOPER S CONVERTIBLE,2.0,4,Auto(AM-S7),27,36,30,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Front",Minicompact Cars,2023-03-01,332,246,293
2024,BMW,Mini,COOPER S CONVERTIBLE,2.0,4,Manual(M6),23,33,27,Turbocharged,Manual,6,"2-Wheel Drive, Front",Minicompact Cars,2023-03-01,380,268,329
2024,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,2.0,4,Auto(S8),25,33,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",Minicompact Cars,2023-03-01,358,266,316
2024,Porsche,Porsche,911 Carrera T,3.0,6,Auto(AM-S8),18,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,"2-Wheel Drive, Rear",Minicompact Cars,2023-07-23,480,367,444
2024,Porsche,Porsche,911 Carrera T,3.0,6,Manual(M7),17,25,20,Turbocharged,Manual,7,"2-Wheel Drive, Rear",Minicompact Cars,2023-07-23,521,349,443
2024,Volkswagen Group of,Audi,RS 3,2.5,5,Auto(AM-S7),19,29,23,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Subcompact Cars,2023-06-01,456,303,388
2024,Volkswagen Group of,Audi,RS 5 Coupe,2.9,6,Auto(S8),18,25,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-06-09,486,350,425
2024,Volkswagen Group of,Audi,S3,2.0,4,Auto(AM-S7),23,32,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Subcompact Cars,2023-06-01,383,276,335
2024,BMW,BMW,230i Coupe,2.0,4,Auto(S8),26,35,30,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-16,333,251,296
2024,BMW,BMW,230i xDrive Coupe,2.0,4,Auto(S8),25,33,28,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-06-30,356,263,314
2024,BMW,BMW,430i Convertible,2.0,4,Auto(S8),25,34,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-01,354,261,312
2024,BMW,BMW,430i Coupe,2.0,4,Auto(S8),25,34,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-01,354,261,312
2024,BMW,BMW,430i xDrive Convertible,2.0,4,Auto(S8),23,33,27,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-01,376,266,326
2024,BMW,BMW,430i xDrive Coupe,2.0,4,Auto(S8),23,33,27,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-01,376,266,326
2024,BMW,BMW,840i Convertible,3.0,6,Auto(S8),21,29,24,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-10,427,310,374
2024,BMW,BMW,840i Coupe,3.0,6,Auto(S8),21,29,24,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-10,425,308,373
2024,BMW,BMW,840i xDrive Convertible,3.0,6,Auto(S8),21,29,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,426,308,373
2024,BMW,BMW,840i xDrive Coupe,3.0,6,Auto(S8),21,29,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,426,308,373
2024,BMW,BMW,M2 Coupe,3.0,6,Auto(S8),16,23,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-16,544,386,472
2024,BMW,BMW,M2 Coupe,3.0,6,Manual(M6),16,24,19,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-16,534,372,461
2024,BMW,BMW,M240i Coupe,3.0,6,Auto(S8),22,32,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-16,394,279,343
2024,BMW,BMW,M240i xDrive Coupe,3.0,6,Auto(S8),23,32,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-06-30,389,276,338
2024,BMW,BMW,M4 Competition Coupe,3.0,6,Auto(S8),16,23,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-05-15,541,383,470
2024,BMW,BMW,M4 Competition M xDrive Coupe,3.0,6,Auto(S8),16,22,18,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-05-15,546,392,477
2024,BMW,BMW,M4 Coupe,3.0,6,Manual(M6),16,23,19,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-16,548,379,472
2024,BMW,BMW,M440i Convertible,3.0,6,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-17,380,286,338
2024,BMW,BMW,M440i Coupe,3.0,6,Auto(S8),24,32,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2023-03-17,371,279,329
2024,BMW,BMW,M440i xDrive Convertible,3.0,6,Auto(S8),22,30,25,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-17,400,291,351
2024,BMW,BMW,M440i xDrive Coupe,3.0,6,Auto(S8),22,31,25,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-17,400,282,347
2024,BMW,BMW,M4CompetitionMxDriveConvertible,3.0,6,Auto(S8),16,23,18,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,562,388,484
2024,BMW,BMW,M8 Competition Convertible,4.4,8,Auto(S8),15,22,17,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,603,411,517
2024,BMW,BMW,M8 Competition Coupe,4.4,8,Auto(S8),15,22,17,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,603,411,517
2024,BMW,BMW,M850i xDrive Convertible,4.4,8,Auto(S8),17,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,527,372,457
2024,BMW,BMW,M850i xDrive Coupe,4.4,8,Auto(S8),17,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Subcompact Cars,2023-03-10,526,372,457
2024,Ford Motor Company,Ford,MUSTANG,2.3,4,Auto(A10),22,33,26,Turbocharged,Automatic,10,"2-Wheel Drive, Rear",Subcompact Cars,2023-05-29,402,266,341
2024,Ford Motor Company,Ford,MUSTANG,5.0,8,Auto(S10),15,24,18,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",Subcompact Cars,2023-05-29,589,369,492
2024,Ford Motor Company,Ford,MUSTANG,5.0,8,Manual(M6),14,23,17,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Subcompact Cars,2023-05-15,622,384,515
2024,Ford Motor Company,Ford,MUSTANG DARK HORSE,5.0,8,Auto(S10),14,22,17,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-23,619,409,524
2024,Ford Motor Company,Ford,MUSTANG DARK HORSE,5.0,8,Manual(M6),14,22,17,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Subcompact Cars,2023-06-05,642,404,535
