Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2018,Aston Martin,Aston Martin Lagonda Ltd,DB11 V12,5.2,12,Auto(S8),15,21,17,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Minicompact Cars,2017-09-07,579,397,497
2018,Aston Martin,Aston Martin Lagonda Ltd,DB11 V8,4.0,8,Auto(S8),18,24,20,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Minicompact Cars,2017-09-07,486,365,431
2018,Aston Martin,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",6.0,12,Auto(S8),13,21,16,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Minicompact Cars,2017-04-10,659,428,555
2018,Aston Martin,Aston Martin Lagonda Ltd,Rapide S,6.0,12,Auto(S8),14,21,17,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Subcompact Cars,2017-04-10,631,413,533
2018,BMW,Mini,COOPER CLUBMAN,1.5,3,Auto(S6),24,32,27,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,363,274,323
2018,BMW,Mini,COOPER CLUBMAN,1.5,3,Manual(M6),24,34,28,Turbocharged,Manual,6,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,363,264,319
2018,BMW,Mini,COOPER HARDTOP 2 DOOR,1.5,3,Auto(S6),27,35,30,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-20,331,250,294
2018,BMW,Mini,COOPER HARDTOP 2 DOOR,1.5,3,Manual(M6),28,38,32,Turbocharged,Manual,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,321,234,282
2018,BMW,Mini,COOPER HARDTOP 4 DOOR,1.5,3,Auto(S6),27,35,30,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-20,331,250,294
2018,BMW,Mini,COOPER HARDTOP 4 DOOR,1.5,3,Manual(M6),28,37,32,Turbocharged,Manual,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,316,236,280
2018,BMW,Mini,COOPER CONVERTIBLE,1.5,3,Auto(S6),27,35,30,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Minicompact Cars,2017-07-20,331,250,294
2018,BMW,Mini,COOPER CONVERTIBLE,1.5,3,Manual(M6),28,37,32,Turbocharged,Manual,6,"2-Wheel Drive, Front",Minicompact Cars,2017-07-31,316,236,280
2018,BMW,Mini,COOPER COUNTRYMAN,1.5,3,Auto(S6),24,32,27,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,363,274,323
2018,BMW,Mini,COOPER COUNTRYMAN,1.5,3,Manual(M6),24,34,28,Turbocharged,Manual,6,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,363,264,319
2018,BMW,Mini,COOPER CLUBMAN ALL4,1.5,3,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Midsize Cars,2017-07-31,385,288,341
2018,BMW,Mini,COOPER CLUBMAN ALL4,1.5,3,Manual(M6),22,32,26,Turbocharged,Manual,6,All Wheel Drive,Midsize Cars,2017-07-31,399,277,344
2018,BMW,Mini,COOPER COUNTRYMAN ALL4,1.5,3,Auto(S8),23,30,25,Turbocharged,Semi-Automatic,8,All Wheel Drive,Midsize Cars,2017-07-31,387,297,347
2018,BMW,Mini,COOPER COUNTRYMAN ALL4,1.5,3,Manual(M6),22,32,26,Turbocharged,Manual,6,All Wheel Drive,Midsize Cars,2017-07-31,399,277,344
2018,BMW,Mini,COOPER S CLUBMAN,2.0,4,Auto(S8),23,32,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,379,274,332
2018,BMW,Mini,COOPER S CLUBMAN,2.0,4,Manual(M6),22,31,25,Turbocharged,Manual,6,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,400,287,349
2018,BMW,Mini,COOPER S HARDTOP 2 DOOR,2.0,4,Auto(S6),25,32,28,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,351,274,316
2018,BMW,Mini,COOPER S HARDTOP 2 DOOR,2.0,4,Manual(M6),23,32,26,Turbocharged,Manual,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,389,276,338
2018,BMW,Mini,COOPER S HARDTOP 4 DOOR,2.0,4,Auto(S6),25,32,28,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,351,274,316
2018,BMW,Mini,COOPER S HARDTOP 4 DOOR,2.0,4,Manual(M6),23,32,26,Turbocharged,Manual,6,"2-Wheel Drive, Front",Subcompact Cars,2017-07-31,389,276,338
2018,BMW,Mini,COOPER S CONVERTIBLE,2.0,4,Auto(S6),25,33,28,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Minicompact Cars,2017-07-31,352,270,315
2018,BMW,Mini,COOPER S CONVERTIBLE,2.0,4,Manual(M6),23,32,26,Turbocharged,Manual,6,"2-Wheel Drive, Front",Minicompact Cars,2017-07-31,389,276,338
2018,BMW,Mini,COOPER S COUNTRYMAN,2.0,4,Auto(S8),23,32,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",Midsize Cars,2017-07-31,379,274,332
2018,BMW,Mini,COOPER S COUNTRYMAN ALL4,2.0,4,Auto(S8),22,31,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Midsize Cars,2017-08-01,395,287,346
2018,BMW,Mini,COOPER S COUNTRYMAN ALL4,2.0,4,Manual(M6),21,31,24,Turbocharged,Manual,6,All Wheel Drive,Midsize Cars,2017-07-31,426,291,365
2018,BMW,Mini,COOPER S CLUBMAN ALL4,2.0,4,Auto(S8),22,31,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Midsize Cars,2017-07-31,395,286,346
