Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2017,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2016-05-10,419,406,420
2017,Fca Us Llc,Alfa Romeo,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-11-09,365,259,317
2017,Aston Martin,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,Auto(AM7),12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-15,737,485,624
2017,Aston Martin,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,Manual(M7),10,16,12,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-07-04,873,541,724
2017,Volkswagen Group Of,Audi,R8,5.2,10,Auto(AM-S7),14,22,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-03-14,609,409,519
2017,Volkswagen Group Of,Audi,R8 Spyder,5.2,10,Auto(AM-S7),14,22,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-03-14,609,409,519
2017,Volkswagen Group Of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S6),23,30,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Two Seaters,2016-08-15,373,290,336
2017,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),13,23,16,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-07-31,665,388,540
2017,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),15,26,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-07-31,585,344,477
2017,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),15,22,18,Supercharged,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-08-31,587,400,503
2017,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),16,25,19,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-07-31,551,360,465
2017,Fca Us Llc,Dodge,Viper,8.4,10,Manual(M6),12,19,14,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-07-25,748,471,623
2017,Ferrari,"Ferrari North America, Inc.",488 gtb,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,568,406,495
2017,Ferrari,"Ferrari North America, Inc.",488 gtb,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,580,405,501
2017,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,568,406,495
2017,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,580,405,501
2017,Ferrari,"Ferrari North America, Inc.",F12 Berlinetta,6.3,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,767,555,672
2017,Ferrari,"Ferrari North America, Inc.",F12 Berlinetta,6.3,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,751,552,662
2017,Ferrari,"Ferrari North America, Inc.",F12 tdf,6.3,12,Auto(AM7),11,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,780,596,697
2017,Ferrari,"Ferrari North America, Inc.",F12 tdf,6.3,12,Auto(AM7),11,15,12,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-24,804,597,711
2017,Ferrari,"Ferrari North America, Inc.",LaFerrari Aperta,6.3,12,Auto(AM7),12,15,13,Naturally Aspirated,Automated Manual,7,Part-time 4-Wheel Drive,Two Seaters,2016-08-01,765,580,682
2017,Fca Us Llc,Fiat,124 Spider,1.4,4,Auto(A6),25,36,29,Turbocharged,Automatic,6,"2-Wheel Drive, Rear",Two Seaters,2016-06-06,348,245,302
2017,Fca Us Llc,Fiat,124 Spider,1.4,4,Manual(M6),26,35,30,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-06-06,337,250,298
2017,Ford Motor Company,Ford,Ford GT,3.5,6,Auto(AM7),11,18,14,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-12-16,779,501,654
2017,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,447,320,390
2017,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,3.0,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,562,371,476
2017,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,447,320,390
2017,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,3.0,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,562,371,476
2017,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,5.0,8,Auto(S8),15,23,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2016-03-18,588,392,500
2017,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,5.0,8,Auto(S8),15,23,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2016-03-18,588,392,500
2017,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,3.0,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2016-03-18,490,347,426
2017,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,3.0,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2016-03-18,490,347,426
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,3.0,6,Auto(S8),19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,468,333,407
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,3.0,6,Manual(M6),15,24,18,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,574,376,485
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,3.0,6,Auto(S8),19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,468,333,407
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe Manual,3.0,6,Manual(M6),15,24,18,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-03-18,574,376,485
2017,Volkswagen Group Of,Lamborghini,Aventador Coupe,6.5,12,Auto(AM-S7),11,18,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-06-22,836,481,676
2017,Volkswagen Group Of,Lamborghini,Aventador Coupe LP740-4,6.5,12,Auto(AM-S7),10,16,12,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-11-07,904,554,746
2017,Volkswagen Group Of,Lamborghini,Aventador Roadster,6.5,12,Auto(AM-S7),10,18,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-06-22,857,502,698
2017,Volkswagen Group Of,Lamborghini,Aventador Roadster LP740-4,6.5,12,Auto(AM-S7),10,16,12,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-11-07,904,554,746
2017,Volkswagen Group Of,Lamborghini,Huracan,5.2,10,Auto(AM-S7),14,21,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-06-01,617,429,532
2017,Volkswagen Group Of,Lamborghini,Huracan 2WD,5.2,10,Auto(AM-S7),14,21,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2016-06-01,617,429,532
2017,Volkswagen Group Of,Lamborghini,Huracan Spyder,5.2,10,Auto(AM-S7),14,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2016-06-01,634,442,547
2017,Volkswagen Group Of,Lamborghini,Huracan Spyder 2WD,5.2,10,Auto(AM-S7),14,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2016-06-01,634,442,547
2017,Mazda,Mazda,MX-5,2.0,4,Auto(S6),26,35,29,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Two Seaters,2016-09-15,340,254,301
2017,Mazda,Mazda,MX-5,2.0,4,Manual(M6),26,33,29,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2016-09-15,335,268,305
2017,Mclaren Automotive,Mclaren,570GT,3.8,8,Auto(A7),16,23,19,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Two Seaters,2016-06-16,526,425,481
2017,Mclaren Automotive,Mclaren,570S Coupe,3.8,8,Auto(A7),16,23,19,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Two Seaters,2016-07-01,526,425,481
2017,Mercedes-Benz,Mercedes-Benz,AMG GT,4.0,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-08-05,548,410,486
2017,Mercedes-Benz,Mercedes-Benz,AMG GT S,4.0,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2016-08-05,548,410,486
2017,Mercedes-Benz,Mercedes-Benz,AMG SL 63,5.5,8,Auto(A7),16,25,19,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Two Seaters,2016-07-02,557,360,468
2017,Mercedes-Benz,Mercedes-Benz,AMG SL 65,6.0,12,Auto(A7),13,22,16,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Two Seaters,2016-08-23,661,405,546
2017,Mercedes-Benz,Mercedes-Benz,AMG SLC 43,3.0,6,Auto(A9),20,29,23,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",Two Seaters,2016-07-18,434,311,379
2017,Mercedes-Benz,Mercedes-Benz,SL 450,3.0,6,Auto(A9),20,28,23,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",Two Seaters,2016-07-01,433,321,383
2017,Mercedes-Benz,Mercedes-Benz,SL 550,4.7,8,Auto(A9),17,25,20,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",Two Seaters,2016-07-02,510,360,442
2017,Mercedes-Benz,Mercedes-Benz,SLC 300,2.0,4,Auto(A9),25,32,27,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",Two Seaters,2016-07-22,361,279,324
