Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2021,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2021-02-01,420,406,420
2021,Aston Martin,Aston Martin Lagonda Ltd,Vantage Manual,4.0,8,Manual(M7),14,21,17,Turbocharged,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2020-08-10,636,426,541
2021,Aston Martin,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,Auto(S8),18,24,20,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2020-08-10,494,364,435
2021,Volkswagen Group Of,Audi,R8,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2020-06-30,663,450,567
2021,Volkswagen Group Of,Audi,R8 2WD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2020-10-15,645,386,528
2021,Volkswagen Group Of,Audi,R8 Spyder,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2020-06-30,663,450,567
2021,Volkswagen Group Of,Audi,R8 Spyder 2WD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2020-10-15,645,386,528
2021,Volkswagen Group Of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S7),23,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2020-10-09,389,290,344
2021,BMW,BMW,Z4 M40i,3.0,6,Auto(S8),22,30,25,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2020-08-15,401,299,355
2021,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),25,32,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2020-08-21,358,275,321
