Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2016,Fca Us Llc,Alfa Romeo,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Two Seaters,2015-08-17,365,259,317
2016,Aston Martin,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,Auto(AM7),12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2015-06-15,742,488,628
2016,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,655,426,552
2016,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,681,461,582
2016,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,655,426,552
2016,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,681,461,582
2016,Aston Martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,655,426,552
2016,Aston Martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2015-06-29,681,461,582
2016,Volkswagen Group Of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S6),23,30,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Two Seaters,2015-06-22,373,290,336
2016,BMW,BMW,M4 GTS,3.0,6,Auto(AM-S7),16,23,19,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2016-03-31,551,388,478
2016,BMW,BMW,Z4 sDrive28i,2.0,4,Auto(S8),22,33,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2015-03-05,403,266,341
2016,BMW,BMW,Z4 sDrive28i,2.0,4,Manual(M6),22,34,26,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2015-03-05,400,259,337
2016,BMW,BMW,Z4 sDrive35i,3.0,6,Auto(AM-S7),17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2015-03-05,518,376,454
2016,BMW,BMW,Z4 sDrive35is,3.0,6,Auto(AM-S7),17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2015-03-05,518,376,454
